record_id,entry_type,event_description,type,country,target_country,target_direction,compliance,date_announced,link,ISO_A3,ISO_A2,severity_index,lat,lng
3328543,New Entry,"Afghanistan's Ministry of Public Health ""assigned health teams for screening of the passengers in the National Airports and borders entry points"" from Feb. 12.",Health Testing,Afghanistan,"Afghanistan,China,Iran,Italy,South Korea",Inbound,NA,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
2776912,New Entry,"Afghanistan ""established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19"" from Feb. 12.",Other Policy Not Listed Above,Afghanistan,,,NA,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
9286791,New Entry,"Afghanistan ""established inter sectorial committees and emergency committees"" on Feb. 12.",New Task Force or Bureau,Afghanistan,,,NA,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
1772449,New Entry,"Afghanistan initiated plans to create awareness campaigns to create more awareness about Covid-19 among the Afghan populations, from Feb. 12.",Public Awareness Campaigns,Afghanistan,,,Voluntary/Recommended but No Penalties,12/02/2020,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,AFG,AF,-1.498437614,33.93911,67.709953
3328543,Correction to Existing Entry (type in Record ID in text box),"Afghanistan ""Assigned health teams for screening of the passengers in the National Airports and borders entry points""
In addition, ""All passengers who have traveled to China, Iran, Italy, or South Korea during the one month prior to arrival in Afghanistan are separated from other passengers, checked for symptoms of COVID-19, and those with symptoms will be taken directly to a designated hospital for testing""",Health Testing,Afghanistan,"Afghanistan,China,Iran,Italy,South Korea",Inbound,Mandatory with Exceptions (Please list exceptions in the text entry),12/02/2020,https://af.usembassy.gov/covid-19-information/,AFG,AF,-1.498437614,33.93911,67.709953
2917567,New Entry,"""Afghanistan’s national security council announced on [02-24-2020] that all air travel to and from Iran had been suspended and borders had been closed""",External Border Restrictions,Afghanistan,Iran,Inbound/Outbound,NA,24/02/2020,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,AFG,AF,-1.192214725,33.93911,67.709953
9422520,New Entry,"Afghanistan's national security council ""announced on [03-12-2020] that the festival would not be publicly observed this year as the World Health Organization (WHO) described COVID-19 as a pandemic -- suggesting the disease was spreading across the globe, for the first time on Wednesday.""",Restrictions of Mass Gatherings,Afghanistan,,,NA,12/03/2020,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,AFG,AF,-1.067874068,33.93911,67.709953
8921750,New Entry,"""In addition to the National Public Health Lab in Kabul, an additional lab in Herat begin COVID-19 testing on March 22, and a lab in Mazar-e-Sharif is planned to begin operations next week. Total testing capacity once the additional labs are operating is expected to be 150-250 tests/day.""",Health Testing,Afghanistan,Afghanistan,Inbound/Outbound,NA,22/03/2020,https://af.usembassy.gov/covid-19-information/,AFG,AF,-0.747736011,33.93911,67.709953
6471314,New Entry,"""The government has allocated $25 million in the budget to cover immediate expenses related to the epidemic. It is monitoring the situation closely and working on additional fiscal and support measures to be activated in response to the developing situation.""",Other Policy Not Listed Above,Afghanistan,,,NA,23/03/2020,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,AFG,AF,-0.663314694,33.93911,67.709953
2874945,New Entry,"Afghanistan enforced lockdown in ""Kabul city, Herat, Farah, and Zaranj city in Nimroz"". The lockdown was enforced ""until further notice"". The lockdown entails day-time curfew (hours uncertain).",Curfew,Afghanistan,,,NA,25/03/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-afghanistan-lockdowns-frontline-provinces/1779209#,AFG,AF,-0.405169277,33.93911,67.709953
2428019,New Entry,"Ministry of Public Health spokesperson said ""In the capital Kabul, we have advised closures of wedding halls, restaurants and other places where large number of people were gathering"" and ""If the advisory is not followed we will have to use police force to implement it.""",Restrictions of Mass Gatherings,Afghanistan,,,"Mandatory with Legal Penalties (Jail Time),Voluntary/Recommended but No Penalties",25/03/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-afghanistan-lockdowns-frontline-provinces/1779209#,AFG,AF,-0.405169277,33.93911,67.709953
9241261,New Entry,TEST Entry,Other Policy Not Listed Above,Afghanistan,,,Voluntary/Recommended but No Penalties,01/04/2020,NA,AFG,AF,-0.185767949,33.93911,67.709953
1703790,New Entry,TEST,Declaration of Emergency,Afghanistan,,,Mandatory with Legal Penalties (Jail Time),02/04/2020,NA,AFG,AF,-0.173982761,33.93911,67.709953
6298255,New Entry,"Albania began health checks at the airport for passengers coming from China, Iran, Singapore, South Korea, or Italy on February 25th.",Health Monitoring,Albania,"China,Italy,Singapore,South Korea",Inbound,Voluntary/Recommended but No Penalties,25/02/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania,ALB,AL,-1.951599881,41.1533,20.1683
8237828,New Entry,Albania banned all flights and ferries between Albania and Italy for one month beginning on March 8th.,External Border Restrictions,Albania,"Italy,Montenegro,Macedonia,United Kingdom",Inbound/Outbound,NA,08/03/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania,ALB,AL,-0.308434453,41.1533,20.1683
439279,New Entry,"Albania canceled all sporting events, cultural events, and other large public gatherings until April 3rd, 2020.",Restrictions of Mass Gatherings,Albania,,,Mandatory with Fines,08/03/2020,https://al.usembassy.gov/updates_covid19/,ALB,AL,-0.308434453,41.1533,20.1683
5370802,New Entry,Albania enforced a two week quarantine on all passengers arriving from Italy on March 8th.,Quarantine,Albania,Italy,Inbound,Mandatory with Fines,08/03/2020,https://tummgmt.eu.qualtrics.com/jfe/form/SV_bf6YMWbTpYJAW4l?RID=MLRP_9BImnyrJ4OsPTnf&Q_CHL=email,ALB,AL,-0.308434453,41.1533,20.1683
8782530,New Entry,Albania closed all private and public educational institutions for 2 weeks starting on March 9th.,Closure of Schools,Albania,Domestic,,Mandatory with Legal Penalties (Jail Time),09/03/2020,https://arsimi.gov.al/wp-content/uploads/2020/03/Urdher-Nr.91.dt_.09.03.2020.pdf,ALB,AL,-0.065443092,41.1533,20.1683
369321,New Entry,"Albania closed bars, restaurants, gyms, discos, and venues with live music on March 10th.",Restriction of Non-Essential Government Services,Albania,,,Mandatory with Fines,10/03/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania#Prevention_measures,ALB,AL,0.057830096,41.1533,20.1683
4280948,New Entry,Albania enforced a two day travel ban in the capital city of Tirana and between other cities in Albania. All private vehicles and public transportation was banned from Friday April 13th through Monday April 15th.,Internal Border Restrictions,Albania,Albania,Inbound/Outbound,Mandatory with Fines,12/03/2020,http://www.panorama.com.al/lajm-i-fundit-kjo-lufte-nuk-fitohet-ndryshe-rama-shtrengon-masat-nga-e-premtja-ne-te-diele-do-mbyllet-qarkullimi-i-mjeteve-private/?fbclid=IwAR2x7ipecXYW_yT567tG3JXuyjCKetMLmi2cqTRSYs9AXxASLJY1otxKTT0,ALB,AL,0.199809884,41.1533,20.1683
1879674,Update on Existing Entry (type in Record ID in text box),Albania closed the border with Greece for land and air travel on March 14th.,External Border Restrictions,Albania,Greece,Inbound/Outbound,Mandatory (Unspecified/Implied),13/03/2020,https://www.albaniandailynews.com/index.php?idm=40353&mod=2,ALB,AL,0.288267381,41.1533,20.1683
8237828,Correction to Existing Entry (type in Record ID in text box),"Albania blocked all land borders with Kosovo, North Macedonia, and Montenegro.",External Border Restrictions,Albania,"Italy,Montenegro,Macedonia,United Kingdom",Inbound/Outbound,Mandatory (Unspecified/Implied),14/03/2020,https://www.albaniandailynews.com/index.php?idm=40384&mod=2,ALB,AL,0.323825542,41.1533,20.1683
8237828,Correction to Existing Entry (type in Record ID in text box),Albania banned all flights to and from the UK.,External Border Restrictions,Albania,"Italy,Montenegro,Macedonia,United Kingdom",Inbound/Outbound,Mandatory (Unspecified/Implied),16/03/2020,https://www.albaniandailynews.com/index.php?idm=40422&mod=2,ALB,AL,0.334094379,41.1533,20.1683
6549805,New Entry,Albania enforced a curfew from 6PM - 6AM starting on March 17th.,Curfew,Albania,,,Mandatory with Fines,17/03/2020,https://exit.al/en/2020/03/16/albanian-government-imposes-1800-curfew-and-ban-on-sitting-in-public-places/?fbclid=IwAR1gIxESfzZfFvYhOppcCX5x3XRMgQ3EakPuLeOCV81pzdpZa0Z7mjRMSrg,ALB,AL,0.311886945,41.1533,20.1683
8279624,Update on Existing Entry (type in Record ID in text box),Albania changed curfew restrictions on all residents which limited trips outside the home to 6-10AM and 4-6PM.,Curfew,Albania,,,Mandatory with Fines,18/03/2020,https://www.albaniandailynews.com/index.php?idm=40513&mod=2&fbclid=IwAR1-9Qn30YEWbAeB25uDfVmOzAZ2tm7JUKc6UhsGoDwgj9yiAgXHtteiA6U,ALB,AL,0.307909532,41.1533,20.1683
3348584,Update on Existing Entry (type in Record ID in text box),Albania changed the curfew hours so that residents could only go outside from 5AM to 1PM.,Curfew,Albania,,,Mandatory with Fines,20/03/2020,https://exit.al/en/2020/03/20/government-changes-curfew-hours-in-albania/?fbclid=IwAR0cC_mdazMbu_TbocsCD77hUnV0ECJiSDRk3XNPQPlgJXyhKpDSOkfC_rc,ALB,AL,0.301713874,41.1533,20.1683
9826146,Update on Existing Entry (type in Record ID in text box),Albania further restricted movement of residents. Only one member per household could leave each day for one hour. Residents need to apply for a permit to leave their homes for essential purposes.,Curfew,Albania,,,Mandatory with Fines,27/03/2020,https://exit.al/en/2020/03/27/albania-restricts-movement-even-more-amid-coronavirus-crackdown/,ALB,AL,0.306561426,41.1533,20.1683
8111385,Update on Existing Entry (type in Record ID in text box),The government of Albania closed schools indefinitely on April 1st.,Closure of Schools,Albania,Domestic,,Mandatory (Unspecified/Implied),01/04/2020,https://al.usembassy.gov/updates_covid19/,ALB,AL,0.336499794,41.1533,20.1683
4179014,Update on Existing Entry (type in Record ID in text box),Albania extended the ban on public gatherings that was set on March 8th indefinitely.,Restrictions of Mass Gatherings,Albania,,,Mandatory with Fines,01/04/2020,https://al.usembassy.gov/updates_covid19/,ALB,AL,0.336499794,41.1533,20.1683
2000393,Update on Existing Entry (type in Record ID in text box),Albania extended the closure of all non-essential businesses that was put in place on March 10th indefinitely.,Restriction of Non-Essential Businesses,Albania,Domestic,,Mandatory with Fines,01/04/2020,https://al.usembassy.gov/updates_covid19/,ALB,AL,0.336499794,41.1533,20.1683
5099850,Update on Existing Entry (type in Record ID in text box),Albania is enforcing a complete lockdown from 1PM on Saturday April 4th until 5AM on Monday April 6th.,Curfew,Albania,,,Mandatory with Fines,03/04/2020,https://exit.al/en/,ALB,AL,0.341452856,41.1533,20.1683
9040425,New Entry,"on 28/02/2020 the Algerian Ministry of Health, Population, and Hospital Reform created a task force with a hotline to have a better of the situation",New Task Force or Bureau,Algeria,,,Voluntary/Recommended but No Penalties,28/02/2020,http://covid19.sante.gov.dz/2020/02/28/%d8%a2%d8%ae%d8%b1-%d8%aa%d8%ad%d8%af%d9%8a%d8%ab-%d8%ad%d8%aa%d9%89-25-02-2020/,DZA,DZ,-1.793210613,28.0339,1.6596
6175554,New Entry,"From  March 4th and due to the rising number of cases, Algerian Health authorities urge citizens to stick to prevention measures, like washing hands constantly and taking necessary protection measures when traveling",Public Awareness Campaigns,Algeria,,,Voluntary/Recommended but No Penalties,04/03/2020,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,DZA,DZ,-1.485046347,28.0339,1.6596
3546819,New Entry,"on 10/03/2020 the Algerian government has already ordered a range of measures to prevent the spread of coronavirus, including a ban on spectators at football games and the suspension of all cultural, social and political gatherings until March 31 to stem the spread of COVID-19. Further restrictions possible. The authorities have not clarified, however, whether the ban extends to weekly mass protests that have convulsed Algeria for more than a year, thrusting its long-established political class into crisis.",Restrictions of Mass Gatherings,Algeria,,,Mandatory with Exceptions (Please list exceptions in the text entry),10/03/2020,https://www.worldaware.com/authorities-algeria-impose-ban-public-gatherings-until-march-31,DZA,DZ,-0.444240214,28.0339,1.6596
3183625,New Entry,"Algerian president has ordered primary schools, kindergartens, vocational training centers, universities and koranic schools in both public and private sectors to close throughout the country. The closure started on 12/03/2020 and will continue until 5 April, according to a statement made by the president’s office.",Closure of Schools,Algeria,Domestic,,Mandatory with Fines,12/03/2020,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,DZA,DZ,-0.106327466,28.0339,1.6596
9923241,New Entry,From 12/03/2020 Algerian government advises citizens from infected countries not to travel to Algeria and vice versa.,External Border Restrictions,Algeria,"China,France,Germany,Italy,Spain",Inbound/Outbound,Voluntary/Recommended but No Penalties,12/03/2020,http://covid19.sante.gov.dz/2020/03/15/%d8%a7%d9%84%d9%85%d8%aa%d8%a7%d8%a8%d8%b9%d8%a9-%d8%a7%d9%84%d9%8a%d9%88%d9%85%d9%8a%d8%a9-%d9%84%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d9%83%d9%88%d9%81%d9%8a%d8%af-1-2/,DZA,DZ,-0.106327466,28.0339,1.6596
1839037,New Entry,"Starting from March 13th, Algeria and Morocco have suspended flights between the two countries to prevent the spread of coronavirus",External Border Restrictions,Algeria,Morocco,Inbound/Outbound,Mandatory (Unspecified/Implied),13/03/2020,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,DZA,DZ,0.004988754,28.0339,1.6596
9190619,New Entry,"On the 16th March, Algeria has stopped all flights and boats with Europe, Reuters news agency reports Prime Minister Abdelaziz Djerad. The measure will come in on 19 March",External Border Restrictions,Algeria,Bolivia,Inbound/Outbound,Mandatory (Unspecified/Implied),16/03/2020,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,DZA,DZ,0.049093453,28.0339,1.6596
1839413,New Entry,"On 18th March, Algeria's President Abdelmadjid Tebboune has ordered all land borders to be closed and all flights, except those carrying freight",External Border Restrictions,Algeria,All,Inbound/Outbound,Mandatory (Unspecified/Implied),18/03/2020,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,DZA,DZ,0.062077023,28.0339,1.6596
564301,New Entry,"on March 18th Algeria's President Abdelmadjid Tebboune banned mass gatherings, including demonstrations and congregational prayers. However, mosques will continue to perform the call for prayers",Restrictions of Mass Gatherings,Algeria,,,Mandatory (Unspecified/Implied),18/03/2020,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,DZA,DZ,0.062077023,28.0339,1.6596
5717931,New Entry,"On March 23, the executive decree establishing social distancing measures intended to prevent and combat the spread of the Coronaviruswas published in the official journal. These measures decreed Thursday by the President of the Republic, Abdelmadjid Tebboune aim to ""decrease, exceptionally, physical contact between citizens in public spaces and in the workplace """,Social Distancing,Algeria,,,Mandatory (Unspecified/Implied),19/03/2020,http://covid19.cipalgerie.com/fr/2020/03/23/coronavirus-publication-du-decret-fixant-les-mesures-de-distanciation-sociale/,DZA,DZ,0.07226674,28.0339,1.6596
6541698,New Entry,"On March 19, the Algerian president announced that all cafés and restaurants in big cities shall be closed starting from Sunday the 22nd",Restriction of Non-Essential Businesses,Algeria,,,Mandatory with Fines,19/03/2020,http://www.aps.dz/algerie/103248-covid-19-le-president-tebboune-prend-une-serie-de-mesures-complementaires,DZA,DZ,0.07226674,28.0339,1.6596
4808272,New Entry,"On March 23, President Abdelmadjid Tebboune announced a full lockdown for the States of Blida and a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic",Internal Border Restrictions,Algeria,Algeria,Inbound/Outbound,Mandatory (Unspecified/Implied),23/03/2020,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,DZA,DZ,0.106270553,28.0339,1.6596
4384217,New Entry,"On March 23, a curfew has been implemented in Algiers from 19:00 to 07:00 (local time), and gatherings greater than two people are prohibited. Food stores are allowed to remain open in rotation, the military is to be dispatched to both Algiers and Blida in order to enforce the aforementioned limitation on movement.

",Curfew,Algeria,,,Mandatory with Legal Penalties (Jail Time),23/03/2020,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,DZA,DZ,0.106270553,28.0339,1.6596
9069768,New Entry,"On Friday, March 27, Prime Minister Djerad Abdelaziz announced that starting on Saturday, March 28, a curfew will be in effect from 19:00 to 07:00 (local time) in Batna, Tizi Ouzou, Setif, Constantine, Médéa, Oran, Boumerdès, El Oued, and Tipaza provinces amid the coronavirus disease (COVID-19) pandemic",Curfew,Algeria,,,Mandatory with Legal Penalties (Jail Time),27/03/2020,https://www.garda.com/crisis24/news-alerts/328496/algeria-ongoing-restrictions-extended-through-april-19-update-9,DZA,DZ,0.12533636,28.0339,1.6596
3404630,New Entry,"On Wednesday, April 1, Algerian authorities announced the extension of the ongoing nationwide coronavirus (COVID-19) restrictions until Sunday, April 19. This includes a curfew in effect from 19:00 to 07:00 (local time) in Batna, Tizi Ouzou, Setif, Constantine, Médéa, Oran, Boumerdès, El Oued, and Tipaza provinces amid the coronavirus disease (COVID-19) pandemic",Curfew,Algeria,,,Mandatory with Legal Penalties (Jail Time),02/04/2020,https://www.garda.com/crisis24/news-alerts/328496/algeria-ongoing-restrictions-extended-through-april-19-update-9,DZA,DZ,0.13585486,28.0339,1.6596
8745445,New Entry,"Andorra ""is regarding schoolchildren, all departures outside Andorra are canceled. The measures also contemplate how to act in nurseries and educational centers"".",Internal Border Restrictions,Andorra,Andorra,Inbound,Mandatory (Unspecified/Implied),11/03/2020,https://andorrainsiders.com/en/covid-19-andorra-coronavirus-measures/,AND,AD,NA,42.5063,1.5218
3218360,New Entry,Andorra's government announces exceptional measures against covid-19 to protect the most vulnerable population as children and the elderly people.,Internal Border Restrictions,Andorra,Andorra,Inbound,Mandatory (Unspecified/Implied),11/03/2020,https://www.andorradifusio.ad/noticies/govern-anuncia-mesures-excepcionals-contenir-coronavirus,AND,AD,NA,42.5063,1.5218
7096805,New Entry,Angola recommends the attendance of events with more than 200 people after March 17,Restrictions of Mass Gatherings,Andorra,,,Voluntary/Recommended but No Penalties,17/03/2020,https://www.jornaldenegocios.pt/economia/coronavirus/detalhe/20200317-1556-covid-19-angola-alarga-restricoes-a-portugal-espanha-e-franca,AND,AD,NA,42.5063,1.5218
9327385,New Entry,Angola is enforcing a two-week quarantine on all passengers coming from China or who have been in contact with sick people as of Feb. 5,Quarantine,Angola,"China,Angola",Inbound,Mandatory with Legal Penalties (Jail Time),05/02/2020,http://www.governo.gov.ao/VerNoticia.aspx?id=49055,AGO,AO,-0.951516439,-11.2027,17.8739
9327385,Correction to Existing Entry (type in Record ID in text box),Angola is enforcing a two-week quarantine on all passengers coming from China or who have been in contact with sick people as of Feb. 5,Quarantine,Angola,"China,Angola",Inbound,Mandatory with Legal Penalties (Jail Time),05/02/2020,http://www.governo.gov.ao/VerNoticia.aspx?id=49055,AGO,AO,-0.951516439,-11.2027,17.8739
9613864,Correction to Existing Entry (type in Record ID in text box),Angola is enforcing a two-week quarantine on all passengers coming from China or who have been in contact with sick people as of Feb. 5,Quarantine,Angola,China,Inbound,Mandatory (Unspecified/Implied),05/02/2020,http://www.governo.gov.ao/VerNoticia.aspx?id=49055,AGO,AO,-0.951516439,-11.2027,17.8739
7298972,New Entry,"Angola is enforcing a two-week quarantine on all citizens arriving from or having visited South Korea, Iran, Italy, Nigeria, Egypt, and Algeria starting March 3",Quarantine,Angola,"Algeria,Algeria,Egypt,Egypt,Iran,Iran,Italy,Italy,Nigeria,Nigeria,South Korea,South Korea",Inbound,Mandatory (Unspecified/Implied),29/02/2020,https://www.jornaldenegocios.pt/economia/saude/detalhe/coronavirus-angola-decreta-medidas-de-quarentena,AGO,AO,-0.516840839,-11.2027,17.8739
5188358,New Entry,"Angola bans citizens from China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria that are travelling directly from these countries from entering after March 3",External Border Restrictions,Angola,"Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea",Inbound,Mandatory with Legal Penalties (Jail Time),01/03/2020,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1,AGO,AO,-0.479920363,-11.2027,17.8739
4266428,New Entry,"Angola, which had previously prohibited the entrance of citizens from Nigeria, Egypt, and Algeria, has taken them of the restricted list after March 4",External Border Restrictions,Angola,"Algeria,Egypt,Nigeria",Inbound,Mandatory with Legal Penalties (Jail Time),04/03/2020,https://www.rtp.pt/noticias/mundo/angola-retira-paises-africanos-da-lista-de-proibicoes-de-entrada-no-territorio_n1209617,AGO,AO,-0.39729644,-11.2027,17.8739
6363503,New Entry,Angola temporarily bans cruise ships from entering as of March 13,External Border Restrictions,Angola,All,Inbound/Outbound,Mandatory with Legal Penalties (Jail Time),12/03/2020,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/2/11/COVID-Suspensa-entrada-Navios-Cruzeiros-Angola,599e22e0-64d5-4a79-9ccc-00be46b8c1db.html",AGO,AO,-0.337932323,-11.2027,17.8739
7670197,New Entry,"Angola is enforcing a a two-week quarantine on all residents who have been to Portugal, Spain, or France after March 18",Quarantine,Angola,"France,France,Portugal,Portugal,Spain,Spain",Inbound,Mandatory with Legal Penalties (Jail Time),17/03/2020,https://www.jornaldenegocios.pt/economia/coronavirus/detalhe/20200317-1556-covid-19-angola-alarga-restricoes-a-portugal-espanha-e-franca,AGO,AO,-0.268831933,-11.2027,17.8739
7487730,New Entry,"Angola is reenforcing their quick response teams and epidemiology monitoring teams on a central, provincial, and municipal level after March 17",Health Resources,Angola,Angola,Inbound/Outbound,NA,17/03/2020,https://www.jornaldenegocios.pt/economia/coronavirus/detalhe/20200317-1556-covid-19-angola-alarga-restricoes-a-portugal-espanha-e-franca,AGO,AO,-0.268831933,-11.2027,17.8739
507525,New Entry,Angola recommends citizens to only travel when strictly necessary after March 17,Social Distancing,Angola,Domestic,,Voluntary/Recommended but No Penalties,17/03/2020,https://www.jornaldenegocios.pt/economia/coronavirus/detalhe/20200317-1556-covid-19-angola-alarga-restricoes-a-portugal-espanha-e-franca,AGO,AO,-0.268831933,-11.2027,17.8739
507525,Correction to Existing Entry (type in Record ID in text box),Angola recommends citizens to only leave their homes when strictly necessary and only attend indispensable meetings after March 17,Social Distancing,Angola,Domestic,,Voluntary/Recommended but No Penalties,17/03/2020,https://www.jornaldenegocios.pt/economia/coronavirus/detalhe/20200317-1556-covid-19-angola-alarga-restricoes-a-portugal-espanha-e-franca,AGO,AO,-0.268831933,-11.2027,17.8739
7640006,New Entry,Angola suspends all international flights as of March 20,External Border Restrictions,Angola,All,Inbound/Outbound,Mandatory with Legal Penalties (Jail Time),18/03/2020,https://expresso.pt/economia/2020-03-18-Angola-suspende-todos-os-voos-internacionais-a-partir-de-dia-20-de-marco,AGO,AO,-0.23873195,-11.2027,17.8739
825480,New Entry,Angola bans the circulation of people on its borders and prohibits ships from docking and its passengers from disembarking for 15 days as of March 20,External Border Restrictions,Angola,All,Inbound/Outbound,Mandatory with Legal Penalties (Jail Time),18/03/2020,http://governo.gov.ao/download.aspx?id=2410&tipo=legislacao,AGO,AO,-0.23873195,-11.2027,17.8739
7760829,New Entry,Angola is closing all schools after March 24,Closure of Schools,Angola,Domestic,,Mandatory with Legal Penalties (Jail Time),19/03/2020,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",AGO,AO,-0.193930619,-11.2027,17.8739
6089435,New Entry,Angola suspends all sporting events and youth activities after March 20,Other Policy Not Listed Above,Angola,,,NA,20/03/2020,"https://www.angop.ao/angola/pt_pt/noticias/desporto/2020/2/12/MJD-suspende-actividades-desportivas-juvenis-devido-COVID,1c576fa2-e9b3-4cc9-823a-3f589bbe7f7f.html",AGO,AO,-0.157354455,-11.2027,17.8739
9038180,New Entry,Angola suspends all cultural and religious activities after March 21,Restrictions of Mass Gatherings,Angola,,,NA,21/03/2020,"https://www.angop.ao/angola/pt_pt/noticias/lazer-e-cultura/2020/2/12/COVID-MINCULT-suspende-actividades-religiosas-culturais,9eb09bc0-3e65-4a8e-8607-f20b68a262dc.html",AGO,AO,-0.134884833,-11.2027,17.8739
1362319,New Entry,Angola recommends its citizens to dismiss their cleaning ladies after March 22,Restriction of Non-Essential Businesses,Angola,,,Voluntary/Recommended but No Penalties,22/03/2020,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/2/12/COVID-Sintese-Nacional,b1bc6cc1-bd8a-4e4b-86ab-6b2610bf8ce5.html",AGO,AO,-0.120388571,-11.2027,17.8739
4816171,New Entry,Angola is closing universities after March 24,Closure of Schools,Angola,,,Mandatory with Legal Penalties (Jail Time),23/03/2020,https://www.cmjornal.pt/mundo/detalhe/angola-encerra-escolas-universidades-e-igrejas-durante-15-dias-para-prevenir-propagacao-do-coronavirus,AGO,AO,-0.116418587,-11.2027,17.8739
2178219,New Entry,Angola is suspending the notarial services and civil and criminal identification services of the Ministry of Justice for 15 days after March 24,Restriction of Non-Essential Government Services,Angola,,,NA,24/03/2020,"https://www.angop.ao/angola/pt_pt/noticias/politica/2020/2/13/COVID-Ministerio-Justica-suspende-servicos-por-dias,26f520cf-cabd-46f8-88e1-761a3ffc3d8b.html",AGO,AO,-0.112366037,-11.2027,17.8739
6483009,New Entry,Angola is demanding the disinfection of all public transportation twice a day and the providence of hand sanitiser by the entities for the passengers and drivers after March 25,Other Policy Not Listed Above,Angola,,,Mandatory (Unspecified/Implied),25/03/2020,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/2/13/COVID-Ministerio-dos-Transporte-reforca-medidas-prevencao,f88e0875-0541-4b18-b153-954aa35f7d35.html",AGO,AO,-0.108755368,-11.2027,17.8739
2092278,New Entry,Angola activates state of emergency on March 27,Declaration of Emergency,Angola,,,Mandatory with Legal Penalties (Jail Time),25/03/2020,https://www.dn.pt/mundo/-angola-declara-estado-de-emergencia-a-partir-de-sexta-feira-11985859.html,AGO,AO,-0.108755368,-11.2027,17.8739
2565814,New Entry,"Angola states that formal and informal markets are only allowed to sell food, natural products, hygiene and beauty related products, and cooking gas during the state of emergency after March 27. Door-to-door selling done by zungueiras will be allowed. Street markets which imply mass gathering are to be closed. With the exception of banks and payment services, telecommunications, press, radios, televisions, and establishments selling food, all private commercial establishments are to be closed. Restaurants providing take-away or delivery services are allowed. Gas stations and establishments providing maintenance for vehicles will remain open, as will mortuary agencies.",Restriction of Non-Essential Businesses,Angola,Domestic,,Mandatory with Legal Penalties (Jail Time),26/03/2020,https://www.rtp.pt/noticias/mundo/estado-de-emergencia-em-angola-determina-apenas-venda-de-produtos-alimentares-e-de-higiene_n1216043,AGO,AO,-0.105042367,-11.2027,17.8739
3846909,New Entry,"Angola is ordering local administrations to create conditions for the regular disinfection of markets, and the maintenance of health and hygiene all around as part of the state of emergency after March 27",Other Policy Not Listed Above,Angola,,,NA,26/03/2020,https://www.rtp.pt/noticias/mundo/estado-de-emergencia-em-angola-determina-apenas-venda-de-produtos-alimentares-e-de-higiene_n1216043,AGO,AO,-0.105042367,-11.2027,17.8739
5977218,New Entry,Angola is to develop several awareness campaigns to prevent the virus as part of the state of emergency after March 27,Public Awareness Campaigns,Angola,,,NA,26/03/2020,https://www.rtp.pt/noticias/mundo/estado-de-emergencia-em-angola-determina-apenas-venda-de-produtos-alimentares-e-de-higiene_n1216043,AGO,AO,-0.105042367,-11.2027,17.8739
