record_id,entry_type,event_description,type,country,target_country,target_direction,compliance,date_announced,link,ISO_A3,ISO_A2,severity_index,lat,lng
1230105,Update on Existing Entry (type in Record ID in text box),"The Ukrainian government has extended the quarantine regime through April 24. All non-essential city services are closed except grocery stores, pharmacies, banks, and gas stations. In Kyiv, grocery stores and pharmacies are limited to one customer per 10 square meters and they may require patrons to wear masks. Grocery stores are currently well-supplied, but you should expect lines and delays.",Quarantine,Ukraine,Ukraine,Inbound/Outbound,Mandatory (Unspecified/Implied),16/03/2020,https://ua.usembassy.gov/covid-19-information/,UKR,UA,0.090985313,48.3794,31.1656
9136382,Update on Existing Entry (type in Record ID in text box),"The government has banned gatherings larger than 10 people, including cultural, entertainment, sports, social, religious, advertising, and sporting events. Use of playgrounds and sports grounds is prohibited. Subways in Kyiv, Dnipro and Kharkiv are closed.  All other city transport, including buses and trams, may carry no more than 10 passengers at one time. City transport in Kyiv is limited to essential personnel with passes only.",Restrictions of Mass Gatherings,Ukraine,,,Mandatory (Unspecified/Implied),16/03/2020,https://ua.usembassy.gov/covid-19-information/,UKR,UA,0.090985313,48.3794,31.1656
3220143,Update on Existing Entry (type in Record ID in text box),"From 12 March until April 24, schooling will be stopped at nursery schools, general secondary schools, out-of- school educational institutions, colleges, universities, institutions of undergraduate, graduate and postgraduate learning.",Closure of Schools,Ukraine,Domestic,,Mandatory (Unspecified/Implied),16/03/2020,https://covid19.com.ua/en,UKR,UA,0.090985313,48.3794,31.1656
660405,New Entry,"Starting March 17, food supply, trade and entertaining enterprises, fitness clubs, and cultural establishments temporarily stop working. Cafes and restaurants are only open for take-out and delivery service only.",Restriction of Non-Essential Businesses,Ukraine,Domestic,,Mandatory (Unspecified/Implied),16/03/2020,https://covid19.com.ua/en,UKR,UA,0.090985313,48.3794,31.1656
3201467,New Entry,"On 25 March, the Government introduced a 30-day emergency regime across Ukraine planned to end on 24 April 2020.",Declaration of Emergency,Ukraine,,,Mandatory with Legal Penalties (Jail Time),25/03/2020,https://web.archive.org/web/20200328082145/https://moz.gov.ua/article/news/operativna-informacija-pro-poshirennja-koronavirusnoi-infekcii-2019-ncov-,UKR,UA,0.201993129,48.3794,31.1656
2136566,New Entry,"Starting April 6, it is mandatory to carry identification documents in public places.",Other Policy Not Listed Above,Ukraine,,,Mandatory with Fines,03/04/2020,https://ua.usembassy.gov/covid-19-information/,UKR,UA,0.226494443,48.3794,31.1656
5478295,New Entry,"Starting April 6, it is mandatory to carry identification documents in public places.",Other Policy Not Listed Above,Ukraine,,,Mandatory with Fines,03/04/2020,https://ua.usembassy.gov/covid-19-information/,UKR,UA,0.226494443,48.3794,31.1656
2297923,New Entry,"Ukraine will send humanitarian aid to Italy in a few days, namely a batch of alcohol disinfectants. A resuscitation helicopter is also being prepared for departure.",Health Resources,Ukraine,"Italy,Italy,Italy,Italy",,Voluntary/Recommended but No Penalties,04/04/2020,https://hromadske.ua/posts/ukrayina-vidpravit-v-italiyu-gumdopomogu-ta-vertolit-reanimaciyu,UKR,UA,NA,48.3794,31.1656
711571,New Entry,"On January 23 2020, the UAE announced that all passengers arriving from China will have to undergo thermal screening at the airports.",Health Testing,United Arab Emirates,China,Inbound,Mandatory with Legal Penalties (Jail Time),23/01/2020,https://www.arabnews.com/node/1618391/middle-east,ARE,AE,-2.380426246,23.424076,53.847818
5250422,New Entry,"On March 2nd 2020, the UAE evacuated Emirati citizens in the Islamic Republic of Iran.",Other Policy Not Listed Above,United Arab Emirates,,,Voluntary/Recommended but No Penalties,02/03/2020,UAE evacuates Emirati nationals from Iran,ARE,AE,-0.765063944,23.424076,53.847818
